,country,locality,yearCollected,eventID,principalInvestigator,samplingProtocol,collectorList,continentOcean,municipality,county,dayCollected,locationID,locationRemarks,decimalLatitude,decimalLongitude,decimalLatitudeEnd,decimalLongitudeEnd,depthOfBottomInMeters,eventEnteredBy,habitat,environmentalMedium,horizontalDatum,island,islandGroup,waterBody,landowner,verbatimLocality,maximumDepthInMeters,maximumElevationInMeters,verbatimElevation,verbatimEventDate,coordinateUncertaintyInMeters,coordinatePrecision,georeferenceProtocol,microHabitat,minimumDepthInMeters,verbatimDepth,minimumElevationInMeters,monthCollected,permitInformation,eventRemarks,stateProvince,taxTeam,timeOfDay,verbatimLatitude,verbatimLongitude,fundingSource,fieldNotes,substratum,earliestEonOrLowestEonothem,latestEonOrHighestEonotheme,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,geologicalContextID,minimumChronometricAge,minimumChronometricAgeReferenceSystem,maximumChronometricAge,maximumChronometricAgeReferenceSystem,chronometricAgeID,chronometricAgeProtocol,chronometricAgeUncertaintyMethod,chronometricAgeUncertaintyInYears,lithostratigraphicTerms,group,formation,member,bed,culturalContext,culturalOccupationPeriod,culturalRegions,culturalAffiliations,bcid,expeditionCode,projectId
1,USA,KayakIsland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5529,-144.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,USA,ElfinCove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.1944,-136.3433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,USA,Bamfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.8333,-125.1428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,USA,PortRenfrew,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.553,-124.4223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,USA,CapeArago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.34136,-124.37536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,USA,Endert’s Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.424,-124.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,USA,Walk On Beach,2018,WOB_071418,Eric Crandall,NA,Eric Crandall|Sharifa Crandall,NA,NA,NA,14,NA,NA,38.731386,-123.489816,NA,NA,NA,NA,intertidal zone,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,100,NA,Geolocate,NA,0,NA,NA,7,CDFW SC-13400,NA,California,NA,NA,NA,NA,NA,Close to https://www.eeb.ucsc.edu/pacificrockyintertidal/sitepages/searanch.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://n2t.net/ark:/21547/Cno2WOB_071418,Crandall_WC,118
8,USA,Bodega Head,2018,BOD_071518,Eric Crandall,NA,Eric Crandall|Sharifa Crandall,NA,NA,NA,15,NA,NA,38.304079,-123.053742,NA,NA,NA,NA,intertidal zone,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,60,NA,Geolocate,NA,0,NA,NA,7,CDFW SC-13400,NA,California,NA,NA,NA,NA,NA,https://www.eeb.ucsc.edu/pacificrockyintertidal/sitepages/bodegahead.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://n2t.net/ark:/21547/Cno2BOD_071518,Crandall_WC,118
9,USA,Davenport Landing,2018,DAV_071718,Eric Crandall,NA,Eric Crandall|Charles Nye,NA,NA,NA,17,NA,NA,37.010501,-122.199563,NA,NA,NA,NA,intertidal zone,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,60,NA,Geolocate,NA,0,NA,NA,7,CDFW SC-13400,NA,California,NA,NA,NA,NA,NA,https://www.eeb.ucsc.edu/pacificrockyintertidal/sitepages/davenport.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://n2t.net/ark:/21547/Cno2DAV_071718,Crandall_WC,118
10,USA,White Point,2019,WHI_010819,Eric Crandall,NA,Eric Crandall,NA,NA,NA,8,NA,NA,33.716127,-118.319394,NA,NA,NA,NA,intertidal zone,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,100,NA,Geolocate,NA,0,NA,NA,1,CDFW SC-13400,NA,California,NA,NA,NA,NA,NA,https://www.eeb.ucsc.edu/pacificrockyintertidal/sitepages/whitepoint.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://n2t.net/ark:/21547/Cno2WHI_010819,Crandall_WC,118
