"","Bamfield","BodegaHead","Carpinteria","DavenportLanding","ElfinCove","HazardReef","LaJolla","PortRenfrew","RefugioBeach","VancouverIsland","VistaDelMar","WalkOnBeach","WhitePoint"
"Bamfield",NA,0.744255744255744,0.424575424575425,0.88011988011988,0.041958041958042,0.04995004995005,0.138861138861139,0.755244755244755,0.140859140859141,0.783216783216783,0.734265734265734,0.667332667332667,0.164835164835165
"BodegaHead",-0.0255124295664565,NA,0.243756243756244,0.892107892107892,0.522477522477522,0.0649350649350649,0.634365634365634,0.317682317682318,0.341658341658342,0.834165834165834,0.145854145854146,0.587412587412587,0.018981018981019
"Carpinteria",-0.00255743254442827,0.0138620245003174,NA,0.357642357642358,0.557442557442557,0.174825174825175,0.252747252747253,0.397602397602398,0.395604395604396,0.817182817182817,0.922077922077922,0.672327672327672,0.12987012987013
"DavenportLanding",-0.0206668190006214,-0.0297955967287827,0.0028741750053202,NA,0.424575424575425,0.01998001998002,0.037962037962038,0.41958041958042,0.260739260739261,0.343656343656344,0.286713286713287,0.752247752247752,0.003996003996004
"ElfinCove",0.0299428139067816,-0.00767627725494422,-0.00647865853658783,-0.000709667967726077,NA,0.122877122877123,0.12987012987013,0.268731268731269,0.911088911088911,0.807192807192807,0.386613386613387,0.652347652347652,0.038961038961039
"HazardReef",0.0360869314578869,0.0745568676495337,0.0143867682739266,0.0569796301162646,0.0183194460665023,NA,0.044955044955045,0.024975024975025,0.0679320679320679,0.004995004995005,0.128871128871129,0.03996003996004,0.863136863136863
"LaJolla",0.0368776093084921,-0.0225914589710002,0.0126021820873194,0.0592544163106712,0.0336192604046787,0.0691409561804441,NA,0.467532467532468,0.412587412587413,0.711288711288711,0.278721278721279,0.141858141858142,0.201798201798202
"PortRenfrew",-0.0138268258138442,0.00754497968659018,0.000601103072059088,0.00173153655047602,0.00953402328467635,0.0635082936938184,-0.00263632684401336,NA,0.035964035964036,0.554445554445554,0.114885114885115,0.624375624375624,0.515484515484515
"RefugioBeach",0.0192511427446656,0.00863239998246811,-0.00192696546866121,0.0100429806528024,-0.0180938439498021,0.0292853929028751,0.000244081034899431,0.0504908909816214,NA,0.802197802197802,0.30969030969031,0.592407592407592,0.367632367632368
"VancouverIsland",-0.00723464773498217,-0.0298112241880109,-0.00862619401558125,0.00269766897137953,-0.00891168284661401,0.054626430473549,-0.0195266679215798,-0.00429886758825415,-0.0100124364282338,NA,0.567432567432567,0.937062937062937,0.383616383616384
"VistaDelMar",-0.0104390317167471,0.0328296417475627,-0.028034763106255,0.00983779256554498,0.00458757684191021,0.0236445277346038,0.0145328648121505,0.0253289222060711,0.00650997411696702,-0.0035591742335206,NA,0.632367632367632,0.140859140859141
"WalkOnBeach",-0.00810065259054347,-0.00823387748258957,-0.0138161029061486,-0.0128967249306322,-0.00740266640409016,0.0683618469260325,0.0293386374937812,-0.00832122114065273,-0.0171149144254304,-0.0155848971196021,-0.0144561573392406,NA,0.813186813186813
"WhitePoint",0.0222650473280376,0.119990042320137,0.0483162145184336,0.120785289465297,0.0493217255118711,-0.0404880046141205,0.0349520569130804,-0.00388182014233641,0.00796386311189383,0.00206442393650399,0.0512904829573227,-0.024554389471934,NA
