"","Kayak Island","Elfin Cove","Bamfield","Port Renfrew","Cape Arago","Enderts Beach","Trinidad Head","Walk On Beach","Bodega Head","Davenport Landing","Vista Del Mar","Hazard Reef","Refugio Beach","Carpinteria","White Point","La Jolla","Playa Encantada","El Zeppelin","Punta Clara","Punta Baja","Punta San Carlos","Faro San Jose","Punta Lobos"
"Kayak Island",NA,-0.0804769001490317,0.00422962232841324,-0.0494048082159798,-0.0504206723556447,-0.0136836912211454,-0.0512629681769682,-0.01053778451167,-0.0961582969914944,-0.0656997288539564,0.02347287037682,-0.00847293975208254,-0.0218365964584072,-0.0250182773447665,0.0458686271376061,0.0237840793299701,-0.059927155412455,-0.00278425424994901,-0.0545181049981289,0.00470868080430098,-0.0431865851204858,-0.0621370350258032,0.123447772096421
"Elfin Cove",-0.0804769001490317,NA,0.00564624965985702,0.0222468506569348,-0.0073457257408811,0.00171379605826837,-0.00211053595031525,-0.0506568922520616,0.0151368423717652,-0.0148975080589812,0.0175254559695645,-0.0358975059723895,0.00669288154972408,-0.00244928538497057,-0.121968030130295,-0.0150400065808138,-0.00579910339405853,-0.0636491638879171,-0.0051728665734174,-0.0334680656513593,0.0352913743017935,-0.0073031157002326,0.118195485468922
"Bamfield",0.00422962232841324,0.00564624965985702,NA,-0.0102543253952152,-0.0025063245804411,0.00934950597438083,-0.0242633543645707,-0.00109760657805472,0.00847658271757392,-0.0154451081670357,-0.0067852965269548,0.0264764249290372,0.0127424889457354,-0.00997283307823535,-0.0890769172116948,-0.0138696047677137,0.00226808350482374,0.0123178116524494,0.0336167431297254,-0.0216748383020238,-0.0115760094981741,0.00531096496337142,0.179026392179108
"Port Renfrew",-0.0494048082159798,0.0222468506569348,-0.0102543253952152,NA,0.0122004701542347,-0.00769884106413899,-0.00836303811351824,-0.0157357934268547,0.02476112412178,0.00520150236811373,0.0241070385913502,-0.00650934600041158,-0.00630722278738598,0.00805593861247271,-0.241187384044525,-0.0520290090562859,0.0349002134630981,-0.0453511874684184,0.0159982197146225,-0.0273337930992575,0.0240087792460203,0.0390731240316691,0.124794552711906
"Cape Arago",-0.0504206723556447,-0.0073457257408811,-0.0025063245804411,0.0122004701542347,NA,-0.000482574165105629,0.00692516873253779,-0.00803358365437774,-0.0173815929942601,-0.0228408055744948,0.0444332474900163,-0.0020690055597778,-0.0124858421512658,-0.0269852881411041,-0.137305792510193,-0.00745264636097337,-0.009765001543457,-0.0434545280065374,-0.00782092416300221,-0.0282937362847962,-0.0131238092711592,-0.0144408156430749,0.131264759905538
"Enderts Beach",-0.0136836912211454,0.00171379605826837,0.00934950597438083,-0.00769884106413899,-0.000482574165105629,NA,-0.000734242763844659,0.00139379979166356,-0.0234836043195375,-0.00120070247181576,0.0526624061749056,0.00475471664751412,0.00850279298863507,0.0136082544164818,-0.03770321687997,-0.00549434430385969,-0.0161363102619763,-0.00590551181102354,0.0105496168629805,0.013042814893128,0.00971280532323506,-0.0173455118934717,0.17151687873801
"Trinidad Head",-0.0512629681769682,-0.00211053595031525,-0.0242633543645707,-0.00836303811351824,0.00692516873253779,-0.000734242763844659,NA,-0.0351444638355631,0.010913390288553,-0.00356821733084648,-0.0325344279789717,-0.0275766877001902,0.00432665533835041,-0.0323203431194213,-0.24139080204399,-0.0491681664871846,0.00188753306219165,-0.0217378128851094,0.0145865234789618,-0.0410406261441436,0.00926757619549994,0.0132159124162671,0.125481828193833
"Walk On Beach",-0.01053778451167,-0.0506568922520616,-0.00109760657805472,-0.0157357934268547,-0.00803358365437774,0.00139379979166356,-0.0351444638355631,NA,0.00427033372463525,-0.00149656453658104,0.0174717471426684,-0.00231721965599502,0.00919540229885074,-0.0123557535914181,-0.10401279928562,0.0138972809667675,-0.0236539231568947,-0.0271018793273993,0.00360904309814881,-0.012002283020651,-4.26542305887066e-05,-0.0238301017561856,0.147683795397022
"Bodega Head",-0.0961582969914944,0.0151368423717652,0.00847658271757392,0.02476112412178,-0.0173815929942601,-0.0234836043195375,0.010913390288553,0.00427033372463525,NA,-0.014129178168532,0.0725393271343517,-0.0247666816389679,-0.00963156886533422,-0.0157552454467719,-0.136822616144191,-0.0197130969232369,-0.00403370490071279,-0.0800691580705836,-0.005887618799269,-0.0187694285527691,0.000144669638312337,-0.0126409617617818,0.100802537818707
"Davenport Landing",-0.0656997288539564,-0.0148975080589812,-0.0154451081670357,0.00520150236811373,-0.0228408055744948,-0.00120070247181576,-0.00356821733084648,-0.00149656453658104,-0.014129178168532,NA,0.018468114982297,-0.00995694557792833,-0.00322641435013746,-0.0230980238424251,-0.149042699970006,-0.012043600884213,-0.0193805751515528,-0.0439194046195217,-0.010138825045068,-0.0265344340033105,-0.0190644583734081,-0.0186204687430676,0.100334802428738
"Vista Del Mar",0.02347287037682,0.0175254559695645,-0.0067852965269548,0.0241070385913502,0.0444332474900163,0.0526624061749056,-0.0325344279789717,0.0174717471426684,0.0725393271343517,0.018468114982297,NA,0.0246017474620939,0.0538334011073224,-0.00519806048652236,-0.0825004562107812,0.0379997021114625,0.0326580763942542,0.0877155325102395,0.0495190066990696,0.00742594020243066,0.0114600514348461,0.016478845901146,0.1286972559294
"Hazard Reef",-0.00847293975208254,-0.0358975059723895,0.0264764249290372,-0.00650934600041158,-0.0020690055597778,0.00475471664751412,-0.0275766877001902,-0.00231721965599502,-0.0247666816389679,-0.00995694557792833,0.0246017474620939,NA,0.0151549330434968,-0.00425444676572247,0.00447668025523885,0.0311279692274475,-0.0377065660088508,0.0374004759040498,-0.0125120918599345,0.0271529656821997,0.000440480163338552,-0.0340456020964324,0.151539089956224
"Refugio Beach",-0.0218365964584072,0.00669288154972408,0.0127424889457354,-0.00630722278738598,-0.0124858421512658,0.00850279298863507,0.00432665533835041,0.00919540229885074,-0.00963156886533422,-0.00322641435013746,0.0538334011073224,0.0151549330434968,NA,-0.00965600567983695,-0.0919056212819997,-0.000358147863903494,-0.0049042277735546,-0.017481830681596,-0.00358534059399316,-0.00408286707999444,-0.00537407059080895,-0.0156833426688157,0.121962145817001
"Carpinteria",-0.0250182773447665,-0.00244928538497057,-0.00997283307823535,0.00805593861247271,-0.0269852881411041,0.0136082544164818,-0.0323203431194213,-0.0123557535914181,-0.0157552454467719,-0.0230980238424251,-0.00519806048652236,-0.00425444676572247,-0.00965600567983695,NA,-0.1254396373632,0.00382325509288172,-0.00976623461735076,-0.00285178737737925,-0.00185241889865997,-0.0287702408165194,-0.0196378690132882,-0.0182042903466396,0.112543878501326
"White Point",0.0458686271376061,-0.121968030130295,-0.0890769172116948,-0.241187384044525,-0.137305792510193,-0.03770321687997,-0.24139080204399,-0.10401279928562,-0.136822616144191,-0.149042699970006,-0.0825004562107812,0.00447668025523885,-0.0919056212819997,-0.1254396373632,NA,-0.0858262469935183,-0.1362453708286,0.0684500732316709,-0.0795551870059687,-0.0501934125755044,-0.140987209478604,-0.0975195541317804,0.0589887640449439
"La Jolla",0.0237840793299701,-0.0150400065808138,-0.0138696047677137,-0.0520290090562859,-0.00745264636097337,-0.00549434430385969,-0.0491681664871846,0.0138972809667675,-0.0197130969232369,-0.012043600884213,0.0379997021114625,0.0311279692274475,-0.000358147863903494,0.00382325509288172,-0.0858262469935183,NA,-0.0223542529219588,0.0518926220791542,0.0151153649527185,-0.00679232709269335,-0.0148488210634008,-0.02150743418578,0.144620157129851
"Playa Encantada",-0.059927155412455,-0.00579910339405853,0.00226808350482374,0.0349002134630981,-0.009765001543457,-0.0161363102619763,0.00188753306219165,-0.0236539231568947,-0.00403370490071279,-0.0193805751515528,0.0326580763942542,-0.0377065660088508,-0.0049042277735546,-0.00976623461735076,-0.1362453708286,-0.0223542529219588,NA,-0.06654632569389,0.0107172750721713,-0.0372883639935523,0.00586427353233525,-0.0118968923814239,0.142815252791099
"El Zeppelin",-0.00278425424994901,-0.0636491638879171,0.0123178116524494,-0.0453511874684184,-0.0434545280065374,-0.00590551181102354,-0.0217378128851094,-0.0271018793273993,-0.0800691580705836,-0.0439194046195217,0.0877155325102395,0.0374004759040498,-0.017481830681596,-0.00285178737737925,0.0684500732316709,0.0518926220791542,-0.06654632569389,NA,-0.0272013591945596,0.003521315338474,-0.0266610880754004,-0.0572238314353717,0.206172399453454
"Punta Clara",-0.0545181049981289,-0.0051728665734174,0.0336167431297254,0.0159982197146225,-0.00782092416300221,0.0105496168629805,0.0145865234789618,0.00360904309814881,-0.005887618799269,-0.010138825045068,0.0495190066990696,-0.0125120918599345,-0.00358534059399316,-0.00185241889865997,-0.0795551870059687,0.0151153649527185,0.0107172750721713,-0.0272013591945596,NA,0.00801813380117741,0.0173826211352385,0.000507124756083705,0.139537471419498
"Punta Baja",0.00470868080430098,-0.0334680656513593,-0.0216748383020238,-0.0273337930992575,-0.0282937362847962,0.013042814893128,-0.0410406261441436,-0.012002283020651,-0.0187694285527691,-0.0265344340033105,0.00742594020243066,0.0271529656821997,-0.00408286707999444,-0.0287702408165194,-0.0501934125755044,-0.00679232709269335,-0.0372883639935523,0.003521315338474,0.00801813380117741,NA,-0.0259893541349458,-0.0316073173190699,0.147892067887952
"Punta San Carlos",-0.0431865851204858,0.0352913743017935,-0.0115760094981741,0.0240087792460203,-0.0131238092711592,0.00971280532323506,0.00926757619549994,-4.26542305887066e-05,0.000144669638312337,-0.0190644583734081,0.0114600514348461,0.000440480163338552,-0.00537407059080895,-0.0196378690132882,-0.140987209478604,-0.0148488210634008,0.00586427353233525,-0.0266610880754004,0.0173826211352385,-0.0259893541349458,NA,0.0131272004792904,0.0333359053678374
